"subject","rep","sw"
1,22,143
2,-26,119
3,59,90
4,-25,65
6,69,127
7,108,2
8,7,73
9,144,62
10,96,105
11,30,122
12,59,50
13,-164,99
14,-159,-21
15,149,101
16,102,13
17,-15,8
18,54,23
19,-53,45
20,-23,28
21,52,48
22,259,113
23,42,42
24,10,42
25,-60,115
26,150,57
27,185,176
28,110,52
29,72,73
30,154,97
31,130,77
32,104,98
33,64,124
34,-6,165
35,41,77
36,127,88
37,-102,100
38,154,89
39,-56,80
40,117,128
41,214,167
42,18,14
43,-89,80
44,138,130
45,7,91
47,-156,109
48,97,69
49,27,43
50,-128,67
51,-9,87
52,49,82
53,129,39
54,57,48
55,-15,123
56,252,176
57,68,55
58,43,21
59,260,66
60,-41,-38
61,227,109
62,-26,66
63,137,163
