"subject","boundary","nonDecision","drift"
57,1.26927519930197,0.235147930839141,1.89498994256374
59,1.54236457056629,0.280194606609548,2.82971786215622
60,1.43371741165935,0.260661019629029,2.42823205497279
61,1.11866814702519,0.291002022940474,2.52661946965124
63,1.03207167268563,0.30278841268187,2.39562564838297
64,1.06237087635473,0.260423304031506,2.64422997532938
68,1.41760603544345,0.251182289768839,3.61851456569298
73,1.24144875206356,0.337255722011684,3.51688956670284
74,1.75022529147189,0.210353239850378,2.29197998405641
77,1.39492953973388,0.313012473963884,3.06045253979546
80,1.52695189346614,0.24086754591273,2.30549398446464
82,1.50369506145223,0.267743774472251,2.15965409558219
83,1.52050386645206,0.261716942782217,2.48931788097473
84,0.980166685614444,0.273514927560819,2.53889995770026
85,1.20028505572868,0.356863699305703,3.19240287236843
87,1.58410347648922,0.286806707899303,2.85147002287394
89,1.68116757364052,0.2684414237892,3.62730003317787
103,1.14743653673804,0.229650512431823,2.54433588196292
105,1.41543279848243,0.230824252780769,2.97424417381213
109,1.80893091660813,0.340211826240621,1.91199562516675
116,1.16668668436679,0.346675104297325,3.16718761146845
120,1.75212664905354,0.266059070337543,2.61936317143728
121,1.63376615429521,0.277801037988141,2.80842001288251
129,1.09305109028578,0.295870199312959,2.44751027352177
130,1.38105725445696,0.328424634707386,3.28483423753317
133,1.35988323035261,0.29560477538987,2.74822050163872
138,0.990140951491134,0.251544483119412,2.13087188129233
139,1.47943635387379,0.230092286579719,1.7803190431508
148,1.54451417902847,0.317149732191758,2.96735608059589
152,1.19202490092049,0.259500457653606,1.5677638416352
178,1.50786331534148,0.298301201205763,2.12034042646135
