participant,6 orders,3 orders
1,1,1
2,2,1
3,3,2
4,4,2
5,1,1
6,5,3
7,6,3
8,2,1
9,1,1
10,3,2
11,4,2
12,5,3
13,6,3
14,2,1
15,3,2
16,4,2
17,5,3
18,6,3
19,1,1
20,2,1
21,3,2
22,4,2
23,5,3
24,6,3
25,1,1
26,2,1
27,3,2
28,4,2
29,5,3
30,6,3
31,1,1
32,2,1
33,3,2
34,4,2
35,5,3
36,1,1
37,6,3
38,2,1
39,3,2
40,4,2
41,5,3
42,6,3
43,2,1
44,1,1
45,3,2
46,4,2
47,5,3
48,6,3
49,1,1
50,2,1
51,3,2
52,4,2
53,5,3
54,6,3
55,1,1
56,2,1
57,3,2
58,4,2
59,5,3
60,1,1
61,6,3
62,3,2
63,2,1
64,4,2
65,5,3
66,6,3
67,1,1
68,2,1
69,3,2
70,4,2
71,5,3
72,6,3
73,1,1
74,2,1
75,3,2
76,4,2
77,5,3
78,6,3
79,1,1
80,2,1
81,3,2
82,4,2
83,5,3
84,6,3
85,1,1
86,2,1
87,3,2
88,4,2
89,5,3
90,6,3
91,1,1
92,2,1
93,3,2
94,4,2
